Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss_per_User
Germany,2021,SQL Injection,Education,1.62,61463,Hacker Group,Weak Passwords,Antivirus,58,26.36
Russia,2020,DDoS,Healthcare,0.82,683572,Insider,Zero-day,Antivirus,69,1.2
Germany,2015,Malware,Healthcare,90.91,654633,Nation-state,Weak Passwords,Antivirus,43,138.87
Japan,2021,DDoS,Banking,32.84,311274,Hacker Group,Zero-day,Encryption,67,105.5
Russia,2017,Malware,Education,63.33,185208,Unknown,Zero-day,Firewall,3,341.94
Russia,2022,Man-in-the-Middle,Healthcare,27.82,182378,Insider,Social Engineering,AI-based Detection,10,152.54
China,2016,Phishing,IT,7.73,800480,Unknown,Zero-day,VPN,31,9.66
India,2019,DDoS,Banking,46.98,147761,Unknown,Unpatched Software,AI-based Detection,68,317.95
Russia,2024,Ransomware,Banking,80.11,923911,Insider,Unpatched Software,Firewall,60,86.71
Germany,2024,Ransomware,Education,11.81,418893,Insider,Social Engineering,Firewall,31,28.19
Germany,2016,Ransomware,Education,15.09,914593,Unknown,Weak Passwords,AI-based Detection,1,16.5
Japan,2015,SQL Injection,Banking,20.69,344789,Unknown,Zero-day,AI-based Detection,69,60.01
India,2019,DDoS,Telecommunications,36.86,116906,Insider,Social Engineering,VPN,7,315.3
Australia,2019,Phishing,Education,10.87,812343,Insider,Social Engineering,Antivirus,16,13.38
China,2017,Malware,IT,18.17,346390,Hacker Group,Weak Passwords,Firewall,36,52.46
Brazil,2018,Phishing,IT,13.89,30925,Insider,Zero-day,Encryption,43,449.15
UK,2017,DDoS,Government,15.63,663812,Nation-state,Zero-day,Antivirus,57,23.55
Brazil,2020,Man-in-the-Middle,Government,32.72,220978,Nation-state,Zero-day,VPN,47,148.07
UK,2021,DDoS,Banking,97.03,100486,Nation-state,Unpatched Software,Firewall,31,965.61
Russia,2023,SQL Injection,Education,75.63,195733,Nation-state,Weak Passwords,Antivirus,70,386.39
Japan,2023,Man-in-the-Middle,Healthcare,64.21,707978,Nation-state,Weak Passwords,VPN,41,90.69
Brazil,2018,Phishing,Healthcare,99.14,456432,Insider,Weak Passwords,Antivirus,66,217.21
Brazil,2016,Man-in-the-Middle,IT,75.51,37230,Unknown,Social Engineering,AI-based Detection,52,2028.2
UK,2015,DDoS,Government,11.68,890414,Nation-state,Unpatched Software,AI-based Detection,28,13.12
France,2021,Malware,IT,33.84,440358,Nation-state,Social Engineering,Antivirus,5,76.85
India,2022,Malware,Healthcare,38.89,400752,Insider,Unpatched Software,Antivirus,36,97.04
France,2018,Phishing,Banking,89.77,134364,Nation-state,Zero-day,Antivirus,63,668.11
Germany,2017,DDoS,Telecommunications,15.01,406483,Insider,Weak Passwords,Antivirus,62,36.93
Brazil,2018,SQL Injection,IT,98.38,661583,Insider,Social Engineering,Encryption,30,148.7
Russia,2015,SQL Injection,Education,23.49,642834,Unknown,Weak Passwords,Antivirus,34,36.54
Brazil,2017,Ransomware,IT,9.43,493087,Hacker Group,Unpatched Software,Encryption,44,19.12
Brazil,2021,Man-in-the-Middle,IT,97.37,966570,Nation-state,Weak Passwords,Antivirus,32,100.74
Russia,2022,Phishing,Telecommunications,73.26,687383,Nation-state,Weak Passwords,VPN,8,106.58
Germany,2020,Phishing,Retail,78.84,733304,Unknown,Weak Passwords,VPN,19,107.51
India,2023,Ransomware,Telecommunications,3.51,661681,Hacker Group,Weak Passwords,AI-based Detection,14,5.3
France,2020,SQL Injection,IT,25.32,644538,Unknown,Social Engineering,Antivirus,57,39.28
Germany,2015,Phishing,Banking,58.78,861637,Unknown,Social Engineering,VPN,15,68.22
Brazil,2016,SQL Injection,Telecommunications,73.76,393189,Unknown,Zero-day,Antivirus,37,187.59
France,2022,SQL Injection,Healthcare,27.06,999545,Hacker Group,Social Engineering,Encryption,47,27.07
UK,2021,SQL Injection,IT,77.82,935572,Hacker Group,Social Engineering,Encryption,61,83.18
France,2016,Ransomware,IT,55.99,724608,Hacker Group,Social Engineering,Antivirus,21,77.27
Brazil,2024,DDoS,Banking,55.73,750979,Unknown,Social Engineering,AI-based Detection,30,74.21
India,2017,Malware,Telecommunications,7.44,552358,Nation-state,Weak Passwords,AI-based Detection,42,13.47
Australia,2019,Phishing,Banking,37.07,902654,Insider,Social Engineering,Antivirus,9,41.07
UK,2022,Ransomware,Healthcare,75.67,413293,Hacker Group,Zero-day,Antivirus,27,183.09
India,2024,Malware,Retail,56.19,114357,Insider,Zero-day,AI-based Detection,58,491.36
USA,2018,Malware,Government,70.53,363432,Hacker Group,Zero-day,AI-based Detection,40,194.07
Japan,2016,SQL Injection,Telecommunications,63.77,304618,Unknown,Unpatched Software,Antivirus,54,209.34
India,2022,SQL Injection,IT,32.73,153154,Hacker Group,Zero-day,VPN,37,213.71
China,2022,Malware,Banking,21.87,741153,Insider,Social Engineering,Encryption,66,29.51
Japan,2024,Man-in-the-Middle,Healthcare,72.08,261230,Insider,Social Engineering,VPN,19,275.93
UK,2023,SQL Injection,Telecommunications,53.82,688014,Unknown,Zero-day,Encryption,18,78.23
Australia,2018,DDoS,Education,3.3,45027,Unknown,Social Engineering,Antivirus,68,73.29
Australia,2021,Malware,Banking,13.99,689681,Nation-state,Weak Passwords,AI-based Detection,62,20.28
Germany,2024,Malware,Government,93.49,702688,Hacker Group,Unpatched Software,Antivirus,39,133.05
China,2016,Man-in-the-Middle,Banking,97.28,86038,Insider,Weak Passwords,Encryption,19,1130.66
Japan,2015,Malware,Education,17.19,899381,Insider,Unpatched Software,Firewall,66,19.11
India,2023,Malware,IT,54.21,157667,Insider,Weak Passwords,VPN,34,343.83
UK,2021,Malware,Government,64.28,643714,Nation-state,Weak Passwords,VPN,25,99.86
USA,2023,Ransomware,Education,71.31,3607,Insider,Zero-day,AI-based Detection,7,19769.89
UK,2017,Phishing,Banking,52.31,259706,Hacker Group,Social Engineering,Antivirus,2,201.42
India,2021,Man-in-the-Middle,Retail,40.94,698921,Insider,Weak Passwords,Firewall,72,58.58
Brazil,2024,Ransomware,Government,32.21,482574,Nation-state,Unpatched Software,Firewall,22,66.75
France,2017,DDoS,IT,20.44,618269,Nation-state,Weak Passwords,VPN,48,33.06
Russia,2016,Ransomware,Government,59.66,854961,Unknown,Unpatched Software,AI-based Detection,7,69.78
Brazil,2019,SQL Injection,Education,56.33,595157,Unknown,Zero-day,Encryption,41,94.65
France,2016,SQL Injection,Government,2.24,813706,Hacker Group,Weak Passwords,VPN,54,2.75
Brazil,2018,DDoS,Telecommunications,82.05,322527,Nation-state,Weak Passwords,Firewall,46,254.4
China,2024,DDoS,Healthcare,11.92,557016,Unknown,Zero-day,Firewall,34,21.4
UK,2017,DDoS,Healthcare,54.83,966668,Hacker Group,Weak Passwords,AI-based Detection,15,56.72
France,2020,SQL Injection,Retail,36.17,813165,Nation-state,Unpatched Software,Antivirus,44,44.48
France,2018,SQL Injection,Government,80.06,400807,Unknown,Weak Passwords,Firewall,67,199.75
Brazil,2023,Man-in-the-Middle,Retail,74.85,549300,Hacker Group,Weak Passwords,Antivirus,26,136.26
Brazil,2021,Ransomware,Government,74.01,956893,Unknown,Social Engineering,Antivirus,49,77.34
India,2015,SQL Injection,Government,46.2,245370,Insider,Social Engineering,AI-based Detection,57,188.29
Brazil,2017,Malware,IT,9.59,912731,Nation-state,Zero-day,Firewall,4,10.51
USA,2017,Malware,Telecommunications,81.19,362085,Insider,Weak Passwords,VPN,5,224.23
Germany,2022,SQL Injection,Telecommunications,42.8,862664,Hacker Group,Zero-day,Firewall,44,49.61
China,2015,Ransomware,Telecommunications,32.65,313384,Insider,Social Engineering,Antivirus,51,104.19
Russia,2018,Malware,Banking,17.99,593009,Unknown,Social Engineering,Firewall,27,30.34
Germany,2023,SQL Injection,Banking,30.68,933754,Insider,Social Engineering,Firewall,36,32.86
Japan,2015,DDoS,Government,82.12,55055,Hacker Group,Unpatched Software,VPN,44,1491.6
France,2020,SQL Injection,Education,94.63,481180,Hacker Group,Weak Passwords,AI-based Detection,10,196.66
Russia,2020,Man-in-the-Middle,Banking,54.03,110260,Unknown,Weak Passwords,VPN,66,490.02
USA,2020,DDoS,Government,10.54,741592,Insider,Social Engineering,VPN,69,14.21
Russia,2020,Phishing,Education,34.41,928026,Unknown,Social Engineering,VPN,5,37.08
Germany,2018,SQL Injection,Education,84.27,399014,Nation-state,Zero-day,Firewall,52,211.2
China,2018,Ransomware,Retail,35.08,42831,Hacker Group,Social Engineering,Antivirus,42,819.03
UK,2018,Man-in-the-Middle,Healthcare,45.11,545613,Insider,Unpatched Software,VPN,25,82.68
Australia,2023,Man-in-the-Middle,Retail,92.57,813789,Nation-state,Unpatched Software,Antivirus,27,113.75
UK,2015,Ransomware,Banking,13.49,345825,Hacker Group,Zero-day,AI-based Detection,6,39.01
UK,2016,Phishing,Education,8.42,29671,Insider,Unpatched Software,Encryption,61,283.78
Australia,2020,Phishing,Government,92.5,34011,Insider,Unpatched Software,Firewall,9,2719.71
USA,2018,SQL Injection,Banking,63.8,341383,Nation-state,Weak Passwords,Antivirus,9,186.89
Japan,2020,Ransomware,Banking,40.86,565080,Unknown,Zero-day,Encryption,6,72.31
Germany,2019,Malware,Banking,79.24,862136,Hacker Group,Zero-day,VPN,44,91.91
Japan,2022,Man-in-the-Middle,Retail,37.15,241151,Hacker Group,Social Engineering,Antivirus,56,154.05
India,2024,Man-in-the-Middle,Government,62.06,321158,Insider,Zero-day,VPN,37,193.24
France,2023,Phishing,Education,31.03,472386,Nation-state,Zero-day,Encryption,24,65.69
UK,2015,Man-in-the-Middle,Healthcare,82.54,34240,Insider,Weak Passwords,Encryption,45,2410.63
USA,2019,Malware,Government,34.4,98018,Insider,Zero-day,VPN,55,350.96
Japan,2024,Phishing,Education,72.2,555808,Unknown,Weak Passwords,AI-based Detection,4,129.9
UK,2021,SQL Injection,Healthcare,52.23,449333,Hacker Group,Unpatched Software,Encryption,39,116.24
UK,2024,Man-in-the-Middle,Retail,7.16,368618,Nation-state,Social Engineering,Firewall,22,19.42
France,2022,Man-in-the-Middle,IT,78.23,310175,Hacker Group,Unpatched Software,AI-based Detection,53,252.21
UK,2020,Phishing,Retail,25.1,986980,Nation-state,Zero-day,VPN,71,25.43
UK,2024,DDoS,Retail,88.54,518181,Insider,Zero-day,Antivirus,24,170.87
India,2015,Phishing,Retail,49.51,72782,Unknown,Zero-day,Encryption,63,680.25
Russia,2018,DDoS,Telecommunications,4.08,502842,Unknown,Zero-day,VPN,15,8.11
UK,2024,Phishing,Retail,89.31,376586,Unknown,Weak Passwords,AI-based Detection,51,237.16
Germany,2023,Phishing,Government,88.55,698597,Unknown,Social Engineering,Antivirus,66,126.75
Russia,2015,SQL Injection,Education,5.26,559195,Insider,Weak Passwords,VPN,52,9.41
India,2024,Ransomware,Retail,17.57,236253,Unknown,Social Engineering,Firewall,38,74.37
Brazil,2016,DDoS,Healthcare,8.01,534847,Nation-state,Zero-day,Firewall,3,14.98
Australia,2016,Malware,Retail,39.86,262611,Unknown,Social Engineering,Antivirus,33,151.78
Brazil,2021,SQL Injection,Telecommunications,11.61,848702,Unknown,Weak Passwords,Antivirus,48,13.68
Germany,2017,Man-in-the-Middle,Retail,73.98,609952,Hacker Group,Unpatched Software,VPN,7,121.29
Germany,2022,Man-in-the-Middle,IT,65.86,978868,Insider,Weak Passwords,AI-based Detection,39,67.28
Australia,2021,Ransomware,Retail,41.26,659734,Insider,Unpatched Software,Antivirus,54,62.54
Japan,2022,DDoS,Retail,64.38,88354,Nation-state,Social Engineering,AI-based Detection,52,728.66
Brazil,2022,Phishing,Banking,75.01,771434,Hacker Group,Social Engineering,AI-based Detection,38,97.23
Australia,2016,SQL Injection,Banking,1.73,91560,Hacker Group,Weak Passwords,AI-based Detection,35,18.89
UK,2021,Phishing,Healthcare,1.35,375292,Unknown,Unpatched Software,Firewall,48,3.6
Japan,2015,SQL Injection,Retail,70.88,43366,Unknown,Weak Passwords,AI-based Detection,43,1634.46
India,2019,Ransomware,Telecommunications,32.08,429224,Unknown,Social Engineering,AI-based Detection,56,74.74
Brazil,2017,Phishing,Healthcare,68.99,526227,Hacker Group,Weak Passwords,VPN,62,131.1
Japan,2024,Man-in-the-Middle,Retail,9.77,621770,Insider,Unpatched Software,AI-based Detection,70,15.71
India,2019,DDoS,Telecommunications,14.53,857688,Insider,Zero-day,Antivirus,55,16.94
Brazil,2024,SQL Injection,Banking,33.06,644841,Insider,Weak Passwords,Antivirus,64,51.27
Russia,2024,Man-in-the-Middle,IT,67.61,242847,Unknown,Unpatched Software,VPN,37,278.41
China,2022,Man-in-the-Middle,IT,85.3,155225,Unknown,Weak Passwords,Antivirus,13,549.52
Japan,2017,Man-in-the-Middle,Banking,79.68,712646,Nation-state,Unpatched Software,AI-based Detection,50,111.81
UK,2022,Phishing,Government,61.87,298941,Unknown,Zero-day,Antivirus,13,206.96
Russia,2018,Man-in-the-Middle,Telecommunications,4.92,783480,Insider,Zero-day,AI-based Detection,55,6.28
Germany,2019,Phishing,Healthcare,99.97,950451,Hacker Group,Weak Passwords,AI-based Detection,29,105.18
China,2018,Malware,Education,95.42,917848,Insider,Social Engineering,VPN,30,103.96
Germany,2016,SQL Injection,Education,42.98,194633,Nation-state,Social Engineering,Antivirus,37,220.83
Australia,2016,Malware,Telecommunications,68.42,778844,Unknown,Zero-day,Encryption,65,87.85
France,2018,SQL Injection,Government,36.14,668774,Unknown,Social Engineering,Firewall,61,54.04
France,2023,SQL Injection,Healthcare,69.76,824351,Unknown,Zero-day,Firewall,17,84.62
UK,2020,Phishing,Healthcare,3.02,510974,Unknown,Weak Passwords,Encryption,16,5.91
Australia,2021,Man-in-the-Middle,Healthcare,86.29,404595,Unknown,Social Engineering,AI-based Detection,3,213.28
Germany,2022,SQL Injection,IT,6.31,742273,Hacker Group,Zero-day,AI-based Detection,67,8.5
China,2016,Phishing,IT,27.46,973388,Nation-state,Zero-day,AI-based Detection,63,28.21
China,2024,DDoS,Government,69.28,890675,Hacker Group,Unpatched Software,Firewall,5,77.78
Germany,2022,SQL Injection,Education,68.96,710896,Nation-state,Zero-day,Firewall,18,97.0
India,2023,SQL Injection,Retail,2.85,30883,Nation-state,Weak Passwords,AI-based Detection,51,92.28
UK,2020,SQL Injection,Government,53.76,153355,Unknown,Zero-day,Encryption,57,350.56
Japan,2020,DDoS,Healthcare,25.83,96706,Insider,Unpatched Software,Firewall,42,267.1
Australia,2016,SQL Injection,IT,43.76,959797,Nation-state,Social Engineering,Antivirus,32,45.59
China,2024,Phishing,Telecommunications,9.45,501864,Hacker Group,Unpatched Software,Encryption,12,18.83
Japan,2024,Man-in-the-Middle,IT,63.57,358626,Unknown,Weak Passwords,VPN,26,177.26
Japan,2017,Man-in-the-Middle,Healthcare,11.3,64472,Insider,Social Engineering,Firewall,43,175.27
India,2023,DDoS,Education,82.11,23683,Hacker Group,Weak Passwords,Encryption,69,3467.04
USA,2017,Man-in-the-Middle,IT,5.21,22635,Unknown,Unpatched Software,AI-based Detection,8,230.17
UK,2017,SQL Injection,Government,98.75,894933,Insider,Weak Passwords,Antivirus,59,110.34
UK,2023,Malware,Banking,55.34,259176,Unknown,Unpatched Software,VPN,3,213.52
China,2022,Man-in-the-Middle,Banking,12.36,987115,Unknown,Social Engineering,Encryption,55,12.52
France,2022,DDoS,Healthcare,6.48,727601,Insider,Social Engineering,Encryption,50,8.91
UK,2021,Phishing,Retail,56.53,542850,Nation-state,Zero-day,Antivirus,41,104.14
India,2023,Ransomware,Education,41.15,352194,Nation-state,Unpatched Software,Firewall,10,116.84
France,2019,Malware,Healthcare,39.83,571521,Nation-state,Weak Passwords,Antivirus,8,69.69
Brazil,2023,SQL Injection,Healthcare,47.59,933271,Insider,Unpatched Software,Antivirus,30,50.99
Brazil,2022,Phishing,Banking,98.06,884502,Insider,Unpatched Software,AI-based Detection,55,110.86
China,2015,Ransomware,IT,57.27,762001,Nation-state,Social Engineering,VPN,67,75.16
France,2016,DDoS,Government,82.49,351330,Nation-state,Weak Passwords,VPN,57,234.79
Australia,2023,Malware,Healthcare,37.73,158107,Unknown,Unpatched Software,AI-based Detection,43,238.64
USA,2016,SQL Injection,Government,77.45,632319,Unknown,Weak Passwords,AI-based Detection,47,122.49
India,2017,DDoS,Government,75.52,352250,Insider,Zero-day,VPN,39,214.39
France,2018,Ransomware,Telecommunications,11.28,504165,Hacker Group,Zero-day,AI-based Detection,55,22.37
Brazil,2024,DDoS,Telecommunications,36.69,738981,Unknown,Social Engineering,VPN,45,49.65
UK,2021,Ransomware,Banking,79.33,555527,Unknown,Unpatched Software,Firewall,33,142.8
Russia,2019,SQL Injection,Banking,59.78,681856,Insider,Zero-day,VPN,52,87.67
Germany,2024,DDoS,Retail,38.65,197609,Nation-state,Social Engineering,VPN,15,195.59
USA,2018,Man-in-the-Middle,Banking,85.29,685291,Hacker Group,Social Engineering,Encryption,53,124.46
Japan,2024,Ransomware,Retail,37.49,835730,Insider,Zero-day,VPN,14,44.86
Germany,2016,Phishing,Education,48.57,907547,Unknown,Unpatched Software,Firewall,33,53.52
France,2019,Phishing,Retail,3.0,298096,Unknown,Social Engineering,Firewall,16,10.06
UK,2023,Phishing,Retail,33.06,18579,Unknown,Social Engineering,VPN,13,1779.43
UK,2021,Malware,Education,70.9,490771,Nation-state,Weak Passwords,Antivirus,70,144.47
Germany,2020,Phishing,Healthcare,38.12,394577,Nation-state,Unpatched Software,Encryption,33,96.61
India,2021,DDoS,Telecommunications,35.19,155426,Nation-state,Zero-day,Firewall,16,226.41
Russia,2017,Ransomware,Education,88.9,444399,Insider,Zero-day,Encryption,38,200.05
Japan,2015,Man-in-the-Middle,Healthcare,7.96,770028,Unknown,Unpatched Software,Firewall,58,10.34
Brazil,2023,Ransomware,Retail,66.38,608520,Hacker Group,Zero-day,VPN,14,109.08
Australia,2020,DDoS,Healthcare,91.45,471113,Hacker Group,Unpatched Software,AI-based Detection,71,194.11
Germany,2015,Man-in-the-Middle,Retail,63.65,311253,Nation-state,Weak Passwords,AI-based Detection,36,204.5
Brazil,2023,DDoS,IT,84.19,390409,Insider,Zero-day,AI-based Detection,31,215.65
China,2015,SQL Injection,IT,28.35,604786,Unknown,Zero-day,VPN,34,46.88
China,2024,SQL Injection,Government,84.23,568377,Unknown,Social Engineering,Antivirus,38,148.19
Russia,2020,SQL Injection,Telecommunications,29.89,267678,Insider,Zero-day,AI-based Detection,13,111.66
Australia,2020,Malware,Education,5.95,592485,Insider,Weak Passwords,Firewall,10,10.04
USA,2018,DDoS,Government,84.85,639011,Insider,Weak Passwords,Firewall,26,132.78
China,2023,Man-in-the-Middle,Telecommunications,28.82,446243,Unknown,Zero-day,Firewall,66,64.58
Germany,2016,DDoS,Government,22.48,10438,Nation-state,Unpatched Software,Encryption,10,2153.67
Brazil,2023,SQL Injection,IT,97.37,796195,Nation-state,Social Engineering,Firewall,20,122.29
Australia,2020,SQL Injection,Telecommunications,53.32,55392,Unknown,Zero-day,VPN,44,962.59
Germany,2016,DDoS,IT,63.11,579291,Hacker Group,Unpatched Software,Encryption,6,108.94
Germany,2023,Malware,Banking,70.19,791366,Unknown,Unpatched Software,Firewall,61,88.69
France,2022,Malware,IT,92.29,727826,Unknown,Weak Passwords,Encryption,63,126.8
Russia,2023,Malware,IT,98.07,608695,Nation-state,Unpatched Software,AI-based Detection,31,161.12
Australia,2019,SQL Injection,Retail,13.96,496667,Unknown,Zero-day,Antivirus,45,28.11
Japan,2024,Malware,Retail,56.9,353887,Unknown,Weak Passwords,Antivirus,59,160.79
China,2019,Ransomware,Banking,32.69,713584,Insider,Weak Passwords,Firewall,26,45.81
India,2017,DDoS,IT,70.09,417831,Unknown,Unpatched Software,Encryption,36,167.75
USA,2019,Ransomware,Banking,22.62,51219,Unknown,Zero-day,Encryption,36,441.63
UK,2017,Ransomware,Retail,47.91,153257,Insider,Zero-day,Encryption,59,312.61
Russia,2017,Phishing,Retail,20.58,768022,Unknown,Zero-day,VPN,64,26.8
France,2024,Phishing,Banking,26.29,314347,Hacker Group,Unpatched Software,Antivirus,28,83.63
Germany,2020,Phishing,IT,33.51,649406,Insider,Social Engineering,Firewall,27,51.6
